湖南频道,#genre#
重庆卫视,http://39.134.242.92:80/180000001002/00000001000000000064000000308825/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182258/main.m3u8
四川卫视,http://39.134.242.92:80/180000001002/00000001000000000064000000308823/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182257/main.m3u8
辽宁卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007225/main.m3u8
黑龙江卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047449/main.m3u8
山西卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182271/main.m3u8
吉林卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208223/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182264/main.m3u8
河南卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208264/main.m3u8
广西卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215605/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182256/main.m3u8
海南卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208265/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000181765/main.m3u8
云南卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215606/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182259/main.m3u8
西藏卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182274/main.m3u8
陕西卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215607/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182270/main.m3u8
甘肃卫视,http://39.134.242.92:80/180000001002/00000001000000000050000000133802/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182276/main.m3u8
青海卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215609/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182317/main.m3u8
宁夏卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182273/main.m3u8
新疆卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182275/main.m3u8
内蒙古卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182272/main.m3u8
南方卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182538/main.m3u8
厦门卫视,http://39.134.242.92:80/180000001002/00000001000000000022000000381023/main.m3u8
兵团卫视,http://39.134.242.92:80/180000001002/00000001000000000022000000381024/main.m3u8

卡通其他,#genre#
金鹰卡通,http://39.134.242.92:80/180000001002/00000001000000000007000000001247/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000007000000001247/index.m3u8?
卡酷动画,http://39.134.242.92:80/180000001002/00000001000000000090000000215608/main.m3u8
黑莓动画,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6497762188035533951&livemode=1&stbId=2
嘉佳卡通,http://183.215.102.57:8089/180000001001/00000001000000000022000000381025/main.m3u8
优漫卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182321/main.m3u8
哈哈炫动,http://140.207.241.3:8080/live/program/live/hhxdhd/4000000/mnf.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182497/main.m3u8


