湖南频道,#genre#
东南卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel80/index.m3u8
金鹰卡通,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel81/index.m3u8
河北卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel79/index.m3u8
内蒙古卫视,https://live9.m2oplus.nmtv.cn/nmgws/hd/live.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel93/index.m3u8
海南卫视,http://iptv.tvfix.org/hls/lyhd.m3u8

其他频道,#genre#
CITY都市剧场,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43085/index.m3u8
CHC高清电影,http://iptv.tvfix.org/hls/chchd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43063/index.m3u8
欢笑剧场,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43039/index.m3u8
动漫秀场,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43045/index.m3u8
哈哈炫动,http://iptv.tvfix.org/hls/hhxdhd.m3u8
Channel V,http://iptv.tvfix.org/hls/channelv.m3u8
极速汽车,http://iptv.tvfix.org/hls/jsqchd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43042/index.m3u8
劲爆体育,http://iptv.tvfix.org/hls/jbtyhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43084/index.m3u8
五星体育,http://iptv.tvfix.org/hls/wxtyhd.m3u8
新视觉,http://iptv.tvfix.org/hls/xsjhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43082/index.m3u8
魅力足球,http://iptv.tvfix.org/hls/mlzqhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43083/index.m3u8
游戏风云,http://iptv.tvfix.org/hls/yxfyhd.m3u8
全纪实,http://iptv.tvfix.org/hls/qjshd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43040/index.m3u8
纪实人文,http://iptv.tvfix.org/hls/docuchina.m3u8
翡翠台,http://iptv.tvfix.org/hls/jade2.m3u8
无线新闻台,http://iptv.tvfix.org/hls/inews.m3u8
明珠台,http://iptv.tvfix.org/hls/pearl.m3u8
美亚电影台,http://iptv.tvfix.org/hls/mydy2.m3u8
中天新闻,http://iptv.tvfix.org/hls/ztxw.m3u8
东森新闻,http://iptv.tvfix.org/hls/dsxw.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰中文,http://iptv.tvfix.org/hls/fhzw.m3u8
